draft_year,rnd,pick,tm,player,pos,g,search_key,id,year_signed,signing_tm,value,value_norm,gtd,gtd_norm
2002,1.0,2.0,CAR,Julius Peppers,DE,266.0,"Julius Peppers, DE",440,2010.0,Bears,84000000.0,0.6902927580893683,42000000.0,0.34514637904468415
2002,1.0,2.0,CAR,Julius Peppers,DE,266.0,"Julius Peppers, DE",440,2002.0,Panthers,46000000.0,0.6469669906189787,13150000.0,0.1849481723182515
2002,1.0,2.0,CAR,Julius Peppers,DE,266.0,"Julius Peppers, DE",440,2014.0,Packers,26000000.0,0.19548872180451127,7500000.0,0.05639097744360902
2002,1.0,2.0,CAR,Julius Peppers,DE,266.0,"Julius Peppers, DE",440,2018.0,Panthers,5000000.0,0.028216704288939052,2500000.0,0.014108352144469526
2002,1.0,2.0,CAR,Julius Peppers,DE,266.0,"Julius Peppers, DE",440,2017.0,Panthers,3500000.0,0.020958083832335328,1650000.0,0.009880239520958085
2002,1.0,11.0,IND,Dwight Freeney,DE,218.0,"Dwight Freeney, DE",449,2007.0,Colts,78000000.0,0.7155963302752294,30000000.0,0.27522935779816515
2002,1.0,11.0,IND,Dwight Freeney,DE,218.0,"Dwight Freeney, DE",449,2013.0,Chargers,8750000.0,0.07079288025889968,4750000.0,0.03843042071197411
2002,1.0,11.0,IND,Dwight Freeney,DE,218.0,"Dwight Freeney, DE",449,2002.0,Colts,9000000.0,0.12658049816458278,6000000.0,0.08438699877638851
2002,1.0,11.0,IND,Dwight Freeney,DE,218.0,"Dwight Freeney, DE",449,2014.0,Chargers,2500000.0,0.018796992481203006,500000.0,0.0037593984962406013
2002,1.0,11.0,IND,Dwight Freeney,DE,218.0,"Dwight Freeney, DE",449,2016.0,Falcons,2000000.0,0.012880788304244219,500000.0,0.0032201970760610548
2002,1.0,11.0,IND,Dwight Freeney,DE,218.0,"Dwight Freeney, DE",449,2015.0,Cardinals,970000.0,0.006769960915689559,0.0,0.0
2002,1.0,11.0,IND,Dwight Freeney,DE,218.0,"Dwight Freeney, DE",449,2017.0,Lions,1080000.0,0.006467065868263473,0.0,0.0
